identificatie,huisnummer,huisletter,huisnummertoevoeging,postcode,typeAdresseerbaarObject,status,geconstateerd,documentdatum,documentnummer,OpenbareRuimteRef
0000200000057534,32,A,,6131BE,Verblijfsobject,Naamgeving uitgegeven,N,2018-03-26,BV05.00043-HLG,1883300000001522
0000200000057534,32,A,,6131BE,Verblijfsobject,Naamgeving ingetrokken,N,2018-04-04,correctie,1883300000001522
0003200000133985,3,,I,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133985,3,a,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2016-04-26,A2016-BNU-041,0003300000117203
0003200000133985,3,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2016-05-10,A2016-BNU-044,0003300000117203
0003200000133986,5,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133987,7,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133988,11,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133989,13,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133990,13,I,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133990,13,,I,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-05-25,2011/AMR010,0003300000117203
0003200000133990,13,a,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2016-02-08,A2016-BNU-007,0003300000117203
0003200000133991,13,I,II,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133991,13,,II,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-04-20,2011/AMR003,0003300000117203
0003200000133991,13,b,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2016-02-08,A2016-BNU-007,0003300000117203
0003200000133992,15,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133993,27,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133995,1,A,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133995,1,a,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-04-13,2011/AMR002,0003300000117203
0003200000133995,1,a,,9901AA,Verblijfsobject,Naamgeving ingetrokken,N,2013-11-28,A2013-BNU-022,0003300000117203
0003200000133996,1,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133996,1,,,9901AA,Verblijfsobject,Naamgeving ingetrokken,N,2013-11-28,A2013-BNU-022,0003300000117203
0003200000133997,1,B,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133997,1,b,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-04-13,2011/AMR002,0003300000117203
0003200000133997,1,b,,9901AA,Verblijfsobject,Naamgeving ingetrokken,N,2013-11-28,A2013-BNU-022,0003300000117203
0003200000133998,1,C,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000133998,1,c,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-04-13,2011/AMR002,0003300000117203
0003200000133998,1,c,,9901AA,Verblijfsobject,Naamgeving ingetrokken,N,2013-11-28,A2013-BNU-022,0003300000117203
0003200000134000,3,,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000134000,3,,,9901AA,Verblijfsobject,Naamgeving ingetrokken,N,2013-11-28,A2013-BNU-022,0003300000117203
0003200000134001,3,A,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2010-07-20,FB 2010/NUM001,0003300000117203
0003200000134001,3,a,,9901AA,Verblijfsobject,Naamgeving uitgegeven,N,2011-04-13,2011/AMR002,0003300000117203
